Id,Label,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Cluster,KatzCentrality,eigencentrality,Authority,Hub
Subhash Chandra Pujari,Subhash Chandra Pujari,0.00013,0.333333,0.000043,2,2,14,0.132512,0.18002,0.00013,3,0,0.005042,0,0
Annemarie Friedrich,Annemarie Friedrich,0,2,0,1,1,15,0.117166,0.148661,0,3,0,0.00247,0,0
Yikun Xian,Yikun Xian,0.000168,0.01581,0.000003,10,12,3,0.534884,0.666667,0.000168,4,0,0.052919,0,0
Zuohui Fu,Zuohui Fu,0.000133,0.03125,0.000004,8,13,3,0.547619,0.644928,0.000133,4,0,0.048965,0,0
Handong Zhao,Handong Zhao,0,10,0,1,1,4,0.353846,0.402174,0,4,0,0.011104,0,0
Yingqiang Ge,Yingqiang Ge,0,1.875,0,2,2,4,0.365079,0.431159,0,4,0,0.019814,0,0
Xu Chen,Xu Chen,0,10,0,1,1,4,0.353846,0.402174,0,4,0,0.011104,0,0
Qiaoying Huang,Qiaoying Huang,0,10,0,1,1,4,0.353846,0.402174,0,4,0,0.011104,0,0
Shijie Geng,Shijie Geng,0.000048,0.073801,0.000004,6,7,3,0.489362,0.57971,0.000048,4,0,0.042853,0,0
Zhou Qin,Zhou Qin,0,10,0,1,1,4,0.353846,0.402174,0,4,0,0.011104,0,0
Gerard de Melo,Gerard de Melo,0.000165,0.252632,0.000042,5,6,2,0.560976,0.608696,0.000165,4,0,0.040984,0,0
S. Muthukrishnan,S. Muthukrishnan,0,10,0,1,1,4,0.353846,0.402174,0,4,0,0.011104,0,0
Yongfeng Zhang,Yongfeng Zhang,0,0.851064,0,3,4,4,0.418182,0.492754,0,4,0,0.029933,0,0
Honglu Zhou,Honglu Zhou,0.000097,0.06015,0.000006,5,5,3,0.442308,0.528986,0.000097,4,0,0.025424,0,0
Advith Chegu,Advith Chegu,0,5,0,1,1,4,0.310811,0.351449,0,4,0,0.006082,0,0
Samuel S. Sohn,Samuel S. Sohn,0,5,0,1,1,4,0.310811,0.351449,0,4,0,0.006082,0,0
Mubbasir Kapadia,Mubbasir Kapadia,0,5,0,1,1,4,0.310811,0.351449,0,4,0,0.006082,0,0
Juntao Tan,Juntao Tan,0,6,0,1,1,4,0.333333,0.373188,0,4,0,0.00871,0,0
Yaxin Zhu,Yaxin Zhu,0,8,0,1,1,4,0.359375,0.398551,0,4,0,0.01012,0,0
Shuyuan Xu,Shuyuan Xu,0,8,0,1,1,4,0.359375,0.398551,0,4,0,0.01012,0,0
